case_id,case_reason,receptor_id,receptor_path,receptor_sha256,ligand_id,ligand_path,ligand_sha256,label,protocol_id,exhaustiveness,seed,status,return_code,docking_score,runtime_seconds,vina_version,pose_path,pose_sha256,log_path,log_sha256,message
1A9U_decoy_L000178_charged,charge +1 and nine torsional degrees of freedom,MK14_1A9U_aligned,results/runs/stage05_mk14_receptor_preparation/MK14_1A9U_aligned/MK14_1A9U_aligned_receptor.pdbqt,1F4A5F9F9FCE03DB2E775B2774EAD31CE79A1280A659A154943923CF8116A2F2,MK14_decoy_L000178,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_decoy_L000178.pdbqt,AE728DCB0C91BFEA1D64B6E1D48B5428D1B2A8C090C70E257C7C682A176A89E2,decoy,e8,8,20260726,ok,0,-8.841,121.855,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/1A9U_decoy_L000178_charged_e8_seed20260726.pdbqt,20065B342ECA591F53F093EA68C8851FB7A81A0D931CB291F5B472F263785A68,results/runs/stage05_mk14_search_ladder_single_seed/logs/1A9U_decoy_L000178_charged_e8_seed20260726.log,D3DD36CD96BE7C47553367287955AB9A1F668700ED0DF29C28F25FB834C60CA4,vina_ok
1A9U_decoy_L000178_charged,charge +1 and nine torsional degrees of freedom,MK14_1A9U_aligned,results/runs/stage05_mk14_receptor_preparation/MK14_1A9U_aligned/MK14_1A9U_aligned_receptor.pdbqt,1F4A5F9F9FCE03DB2E775B2774EAD31CE79A1280A659A154943923CF8116A2F2,MK14_decoy_L000178,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_decoy_L000178.pdbqt,AE728DCB0C91BFEA1D64B6E1D48B5428D1B2A8C090C70E257C7C682A176A89E2,decoy,e16,16,20260726,ok,0,-8.841,207.848,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/1A9U_decoy_L000178_charged_e16_seed20260726.pdbqt,20065B342ECA591F53F093EA68C8851FB7A81A0D931CB291F5B472F263785A68,results/runs/stage05_mk14_search_ladder_single_seed/logs/1A9U_decoy_L000178_charged_e16_seed20260726.log,FFB3B3E953471ED2AB61233E09196E150F5C06BEDB1C6DDC971155FFF20A0D5F,vina_ok
1A9U_decoy_L000178_charged,charge +1 and nine torsional degrees of freedom,MK14_1A9U_aligned,results/runs/stage05_mk14_receptor_preparation/MK14_1A9U_aligned/MK14_1A9U_aligned_receptor.pdbqt,1F4A5F9F9FCE03DB2E775B2774EAD31CE79A1280A659A154943923CF8116A2F2,MK14_decoy_L000178,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_decoy_L000178.pdbqt,AE728DCB0C91BFEA1D64B6E1D48B5428D1B2A8C090C70E257C7C682A176A89E2,decoy,e32,32,20260726,ok,0,-9.003,394.705,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/1A9U_decoy_L000178_charged_e32_seed20260726.pdbqt,64F5293B160C8D76D85E8C4CC6AB46C628601EBCE0C1DFE138CCC0E4A47481E9,results/runs/stage05_mk14_search_ladder_single_seed/logs/1A9U_decoy_L000178_charged_e32_seed20260726.log,1ED4503F11679C1AB9489B0313C0E61A3FC87C6B95A69AC53CB34ABCDB43C1C3,vina_ok
2QD9_active_L000318_flexible,eight QC rotatable bonds and broad common-box search on the DUD-E reference receptor,MK14_2QD9_reference,results/runs/stage05_mk14_receptor_preparation/MK14_2QD9_reference/MK14_2QD9_reference_receptor.pdbqt,F34F05160C13A78113A31459569E09F2FD93632F5A4E57806AEF192B3BC3E036,MK14_active_L000318,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_active_L000318.pdbqt,04A860C8E85F6436CD5409723E77EC25AC573BCA80A9F7642E83CD7EEBCB1FFA,active,e8,8,20260726,ok,0,-9.23,109.743,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/2QD9_active_L000318_flexible_e8_seed20260726.pdbqt,E836663D6724AF450D3067329D929C7E49753A12FF1EA29012BDAD80DDE35794,results/runs/stage05_mk14_search_ladder_single_seed/logs/2QD9_active_L000318_flexible_e8_seed20260726.log,7DC1E5454F217807B24B9B6306BAAD59ACCBC7461D05BF7A4EF5C3F6CE85DDE1,vina_ok
2QD9_active_L000318_flexible,eight QC rotatable bonds and broad common-box search on the DUD-E reference receptor,MK14_2QD9_reference,results/runs/stage05_mk14_receptor_preparation/MK14_2QD9_reference/MK14_2QD9_reference_receptor.pdbqt,F34F05160C13A78113A31459569E09F2FD93632F5A4E57806AEF192B3BC3E036,MK14_active_L000318,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_active_L000318.pdbqt,04A860C8E85F6436CD5409723E77EC25AC573BCA80A9F7642E83CD7EEBCB1FFA,active,e16,16,20260726,ok,0,-9.23,216.26,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/2QD9_active_L000318_flexible_e16_seed20260726.pdbqt,E836663D6724AF450D3067329D929C7E49753A12FF1EA29012BDAD80DDE35794,results/runs/stage05_mk14_search_ladder_single_seed/logs/2QD9_active_L000318_flexible_e16_seed20260726.log,C2DEB12120C60F82856E306BCC7C06ECE9C36243A06E1660414E4F26DB4283EB,vina_ok
2QD9_active_L000318_flexible,eight QC rotatable bonds and broad common-box search on the DUD-E reference receptor,MK14_2QD9_reference,results/runs/stage05_mk14_receptor_preparation/MK14_2QD9_reference/MK14_2QD9_reference_receptor.pdbqt,F34F05160C13A78113A31459569E09F2FD93632F5A4E57806AEF192B3BC3E036,MK14_active_L000318,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_active_L000318.pdbqt,04A860C8E85F6436CD5409723E77EC25AC573BCA80A9F7642E83CD7EEBCB1FFA,active,e32,32,20260726,ok,0,-9.23,466.686,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/2QD9_active_L000318_flexible_e32_seed20260726.pdbqt,E836663D6724AF450D3067329D929C7E49753A12FF1EA29012BDAD80DDE35794,results/runs/stage05_mk14_search_ladder_single_seed/logs/2QD9_active_L000318_flexible_e32_seed20260726.log,87C649765A72D9564429C8D82EAF891A639AFC6E632D7CB236E632CD9D437D9C,vina_ok
3K3J_active_L000297_large,40 heavy atoms and the strongest pilot active score on the DFG-out receptor,MK14_3K3J_aligned,results/runs/stage05_mk14_receptor_preparation/MK14_3K3J_aligned/MK14_3K3J_aligned_receptor.pdbqt,66F7EE8E48691B4ABE56660CB15B805AC5FD4AB6740C89AFD1943279B51B85B9,MK14_active_L000297,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_active_L000297.pdbqt,6D4B001D2768D9CD4EAD2D57ACC6AA39BE869E9F551AEEE6F211879BE867D54F,active,e8,8,20260726,ok,0,-12.26,124.869,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/3K3J_active_L000297_large_e8_seed20260726.pdbqt,53DB21AA51C99CAE49E3A64B0B411E04C46129E2D7DAEEE9485A5AB38212EE6F,results/runs/stage05_mk14_search_ladder_single_seed/logs/3K3J_active_L000297_large_e8_seed20260726.log,37657DE961C8F5AAD47D530B5A5DFC4B50752B8A140C4D7A6079F20D3DED5491,vina_ok
3K3J_active_L000297_large,40 heavy atoms and the strongest pilot active score on the DFG-out receptor,MK14_3K3J_aligned,results/runs/stage05_mk14_receptor_preparation/MK14_3K3J_aligned/MK14_3K3J_aligned_receptor.pdbqt,66F7EE8E48691B4ABE56660CB15B805AC5FD4AB6740C89AFD1943279B51B85B9,MK14_active_L000297,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_active_L000297.pdbqt,6D4B001D2768D9CD4EAD2D57ACC6AA39BE869E9F551AEEE6F211879BE867D54F,active,e16,16,20260726,ok,0,-12.26,254.158,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/3K3J_active_L000297_large_e16_seed20260726.pdbqt,53DB21AA51C99CAE49E3A64B0B411E04C46129E2D7DAEEE9485A5AB38212EE6F,results/runs/stage05_mk14_search_ladder_single_seed/logs/3K3J_active_L000297_large_e16_seed20260726.log,85821ECAD04AD03DE9629D7CBC4AE3E62558BD27F2C954A9CF7D9B790B1BE809,vina_ok
3K3J_active_L000297_large,40 heavy atoms and the strongest pilot active score on the DFG-out receptor,MK14_3K3J_aligned,results/runs/stage05_mk14_receptor_preparation/MK14_3K3J_aligned/MK14_3K3J_aligned_receptor.pdbqt,66F7EE8E48691B4ABE56660CB15B805AC5FD4AB6740C89AFD1943279B51B85B9,MK14_active_L000297,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_active_L000297.pdbqt,6D4B001D2768D9CD4EAD2D57ACC6AA39BE869E9F551AEEE6F211879BE867D54F,active,e32,32,20260726,ok,0,-12.26,503.104,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/3K3J_active_L000297_large_e32_seed20260726.pdbqt,53DB21AA51C99CAE49E3A64B0B411E04C46129E2D7DAEEE9485A5AB38212EE6F,results/runs/stage05_mk14_search_ladder_single_seed/logs/3K3J_active_L000297_large_e32_seed20260726.log,786C4B14216F9AEDCADE2E203BB75D874699EC6E3CA7F445BE85CE18CB728195,vina_ok
3KQ7_decoy_L017349_strong,strong false-positive-like pilot score across all four receptors,MK14_3KQ7_aligned,results/runs/stage05_mk14_receptor_preparation/MK14_3KQ7_aligned/MK14_3KQ7_aligned_receptor.pdbqt,004DD1214FB3C4BEBD3BC9B08EF2D2F5385B6E5D11925B809E2B11C9A4F12246,MK14_decoy_L017349,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_decoy_L017349.pdbqt,B15F12D2118C3B1F2BBA3BAB4AC977567224ACAACFB722C432364A8C51843D9D,decoy,e8,8,20260726,ok,0,-11.12,70.725,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/3KQ7_decoy_L017349_strong_e8_seed20260726.pdbqt,663E9C3B0F9AB1FCD2EA6212D1D1A7D6372861996E1A30C9246EDD1F9370CF82,results/runs/stage05_mk14_search_ladder_single_seed/logs/3KQ7_decoy_L017349_strong_e8_seed20260726.log,881015ED77EFEA9033F2527E7BB5B1D417FD8574E720EDF0F26F04EAC99E5C5F,vina_ok
3KQ7_decoy_L017349_strong,strong false-positive-like pilot score across all four receptors,MK14_3KQ7_aligned,results/runs/stage05_mk14_receptor_preparation/MK14_3KQ7_aligned/MK14_3KQ7_aligned_receptor.pdbqt,004DD1214FB3C4BEBD3BC9B08EF2D2F5385B6E5D11925B809E2B11C9A4F12246,MK14_decoy_L017349,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_decoy_L017349.pdbqt,B15F12D2118C3B1F2BBA3BAB4AC977567224ACAACFB722C432364A8C51843D9D,decoy,e16,16,20260726,ok,0,-11.12,160.934,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/3KQ7_decoy_L017349_strong_e16_seed20260726.pdbqt,663E9C3B0F9AB1FCD2EA6212D1D1A7D6372861996E1A30C9246EDD1F9370CF82,results/runs/stage05_mk14_search_ladder_single_seed/logs/3KQ7_decoy_L017349_strong_e16_seed20260726.log,5503344411E63BF5F3E6963E56F975AE1EBC754ACA55045C32B1F27C784AD20C,vina_ok
3KQ7_decoy_L017349_strong,strong false-positive-like pilot score across all four receptors,MK14_3KQ7_aligned,results/runs/stage05_mk14_receptor_preparation/MK14_3KQ7_aligned/MK14_3KQ7_aligned_receptor.pdbqt,004DD1214FB3C4BEBD3BC9B08EF2D2F5385B6E5D11925B809E2B11C9A4F12246,MK14_decoy_L017349,results/runs/stage05_mk14_train_execution_pilot/ligands/pdbqt/MK14_decoy_L017349.pdbqt,B15F12D2118C3B1F2BBA3BAB4AC977567224ACAACFB722C432364A8C51843D9D,decoy,e32,32,20260726,ok,0,-11.12,283.861,AutoDock Vina v1.2.7,results/runs/stage05_mk14_search_ladder_single_seed/poses/3KQ7_decoy_L017349_strong_e32_seed20260726.pdbqt,663E9C3B0F9AB1FCD2EA6212D1D1A7D6372861996E1A30C9246EDD1F9370CF82,results/runs/stage05_mk14_search_ladder_single_seed/logs/3KQ7_decoy_L017349_strong_e32_seed20260726.log,6A136F6A320E861383ECF1189A221142FD9F576D9A7ECC0D7DD68C0DA807B15D,vina_ok
